,DateTime,Time,EX,SYM_ROOT,BID,BIDSIZ,ASK,ASKSIZ,NATBBO_IND,QU_COND
28493,2018-01-04,09:34:36.522491,K,AAPL,172.83,1,172.85,2,0,R
28494,2018-01-04,09:34:36.522493,Y,AAPL,172.81,1,172.87,2,0,R
28495,2018-01-04,09:34:36.522504,Z,AAPL,172.84,1,172.85,2,0,R
28496,2018-01-04,09:34:36.522520,Y,AAPL,172.81,1,172.86,1,0,R
28497,2018-01-04,09:34:36.522532,P,AAPL,172.81,1,172.88,3,0,R
28498,2018-01-04,09:34:36.522575,Y,AAPL,172.81,1,172.87,2,0,R
28499,2018-01-04,09:34:36.522601,P,AAPL,172.81,1,172.88,4,0,R
28500,2018-01-04,09:34:36.522603,Z,AAPL,172.83,2,172.85,2,2,R
28501,2018-01-04,09:34:36.522608,Y,AAPL,172.81,1,172.86,1,0,R
28502,2018-01-04,09:34:36.522612,Y,AAPL,172.81,1,172.86,2,0,R
28503,2018-01-04,09:34:36.522661,Y,AAPL,172.81,1,172.86,1,0,R
28504,2018-01-04,09:34:36.522672,B,AAPL,172.81,1,172.85,1,0,R
28505,2018-01-04,09:34:36.522683,Z,AAPL,172.83,2,172.85,3,0,R
28506,2018-01-04,09:34:36.522699,Q,AAPL,172.83,8,172.84,1,4,R
28507,2018-01-04,09:34:36.522712,J,AAPL,172.62,1,173.1,1,0,R
28508,2018-01-04,09:34:36.522713,Y,AAPL,172.81,1,172.86,1,0,R
28509,2018-01-04,09:34:36.522714,B,AAPL,172.81,1,172.85,2,0,R
28510,2018-01-04,09:34:36.522715,Z,AAPL,172.83,2,172.84,3,2,R
28511,2018-01-04,09:34:36.522718,K,AAPL,172.83,1,172.85,2,0,R
28512,2018-01-04,09:34:36.522721,Y,AAPL,172.81,1,172.86,1,0,R
28513,2018-01-04,09:34:36.522741,B,AAPL,172.81,1,172.85,1,0,R
28514,2018-01-04,09:34:36.522763,K,AAPL,172.83,1,172.84,1,0,R
28515,2018-01-04,09:34:36.522773,B,AAPL,172.81,1,172.86,1,0,R
28516,2018-01-04,09:34:36.522800,Z,AAPL,172.83,2,172.84,5,2,R
28517,2018-01-04,09:34:36.522879,Q,AAPL,172.83,8,172.84,3,0,R
28518,2018-01-04,09:34:36.522977,Q,AAPL,172.83,8,172.84,1,0,R
28519,2018-01-04,09:34:36.523007,Q,AAPL,172.83,8,172.85,3,0,R
28520,2018-01-04,09:34:36.523074,Q,AAPL,172.83,8,172.85,2,0,R
28521,2018-01-04,09:34:36.523311,Y,AAPL,172.81,1,172.86,1,0,R
28522,2018-01-04,09:34:36.523317,J,AAPL,172.62,1,173.1,1,0,R
28523,2018-01-04,09:34:36.524285,V,AAPL,172.83,1,172.87,1,0,R
28524,2018-01-04,09:34:36.527354,Z,AAPL,172.83,2,172.84,4,2,R
28525,2018-01-04,09:34:36.527982,Q,AAPL,172.83,8,172.85,1,0,R
28526,2018-01-04,09:34:36.529850,V,AAPL,172.25,1,172.87,1,0,R
28527,2018-01-04,09:34:36.530251,K,AAPL,172.83,1,172.86,5,0,R
28528,2018-01-04,09:34:36.534847,Z,AAPL,172.83,2,172.84,3,2,R
28529,2018-01-04,09:34:36.534921,Q,AAPL,172.83,7,172.85,1,2,R
28530,2018-01-04,09:34:36.534925,Q,AAPL,172.83,6,172.85,1,2,R
28531,2018-01-04,09:34:36.534925,Q,AAPL,172.83,5,172.85,1,2,R
28532,2018-01-04,09:34:36.534928,Q,AAPL,172.83,4,172.85,1,2,R
28533,2018-01-04,09:34:36.534931,Q,AAPL,172.83,3,172.85,1,2,R
28534,2018-01-04,09:34:36.534936,Q,AAPL,172.83,2,172.85,1,2,R
28535,2018-01-04,09:34:36.534978,Q,AAPL,172.83,1,172.85,1,0,R
28536,2018-01-04,09:34:36.534980,Q,AAPL,172.83,1,172.85,6,0,R
28537,2018-01-04,09:34:36.534991,Z,AAPL,172.83,1,172.84,3,4,R
28538,2018-01-04,09:34:36.534993,Q,AAPL,172.83,2,172.85,6,2,R
28539,2018-01-04,09:34:36.534995,Q,AAPL,172.83,3,172.85,6,2,R
28540,2018-01-04,09:34:36.535000,K,AAPL,172.82,5,172.86,5,0,R
28541,2018-01-04,09:34:36.535000,Q,AAPL,172.83,4,172.85,6,2,R
28542,2018-01-04,09:34:36.535001,Z,AAPL,172.83,1,172.84,3,0,R
28543,2018-01-04,09:34:36.535005,Q,AAPL,172.83,5,172.85,6,2,R
28544,2018-01-04,09:34:36.535005,Q,AAPL,172.83,6,172.85,6,2,R
28545,2018-01-04,09:34:36.535020,Q,AAPL,172.83,6,172.84,1,0,R
28546,2018-01-04,09:34:36.535028,Q,AAPL,172.83,7,172.84,1,2,R
28547,2018-01-04,09:34:36.535046,Q,AAPL,172.83,6,172.84,1,2,R
28548,2018-01-04,09:34:36.535095,K,AAPL,172.82,5,172.85,1,0,R
28549,2018-01-04,09:34:36.535270,K,AAPL,172.82,5,172.85,4,0,R
28550,2018-01-04,09:34:36.535388,P,AAPL,172.81,1,172.85,1,0,R
28551,2018-01-04,09:34:36.535456,P,AAPL,172.81,1,172.85,2,0,R
28552,2018-01-04,09:34:36.535565,Q,AAPL,172.83,6,172.85,6,0,R
28553,2018-01-04,09:34:36.535655,P,AAPL,172.81,1,172.84,1,0,R
28554,2018-01-04,09:34:36.537314,P,AAPL,172.81,1,172.85,2,0,R
28555,2018-01-04,09:34:36.537398,P,AAPL,172.83,1,172.85,2,0,R
28556,2018-01-04,09:34:36.545060,K,AAPL,172.82,5,172.85,6,0,R
28557,2018-01-04,09:34:36.545085,Q,AAPL,172.83,6,172.85,8,0,R
28558,2018-01-04,09:34:36.545424,P,AAPL,172.83,1,172.85,3,0,R
